id,product_name,aspect,positive_mentions,negative_mentions,neutral_mentions,avg_compound,sample_positive,sample_negative
1,Alpine Pro Ski Boots,fit,11,3,0,0.3843,Five stars for the fit! Perfect sizing with no break-in period needed. Worth every penny.,The fit failed after just a few uses. The sizing chart is completely inaccurate. Very poor quality.
2,Alpine Pro Ski Boots,durability,19,5,6,0.3438,The Alpine Pro Ski Boots exceeded my expectations. The durability is top-notch. Still going strong after hundreds of miles.,Not happy with the durability at all. Material started peeling almost immediately. Would not recommend.
3,Alpine Pro Ski Boots,warmth,15,3,0,0.55,Really impressed with the warmth. Kept my feet toasty in -20°C conditions. Highly recommend for anyone serious about outdoor gear.,The warmth is decent but nothing special. Okay in moderately cold weather. Gets the job done.
4,Alpine Pro Ski Boots,weight,17,8,1,0.264,Absolutely love the weight on the Alpine Pro Ski Boots. Surprisingly lightweight for the features. Would buy again!,The weight completely ruined my winter trip. The weight is a dealbreaker for long treks. Unacceptable quality.
5,Alpine Pro Ski Boots,price,30,11,1,0.3305,Five stars for the fit! Perfect sizing with no break-in period needed. Worth every penny.,Terrible price. There are far better options at half the price. This does not live up to the brand's reputation.
6,Alpine Pro Ski Boots,waterproofing,2,0,0,0.8891,"Pleasantly surprised by the warmth. Even in deep powder, my feet stayed warm and dry. My go-to gear for spring.",
7,Alpine Pro Ski Boots,safety,4,0,0,0.8953,The ankle support is outstanding. My ankles felt locked in and secure. Best purchase I've made this season.,
8,Alpine Pro Ski Boots,reliability,0,4,0,-0.5049,,The weight failed after just a few uses. Feels like carrying bricks. Very poor quality.
9,Alpine Pro Ski Boots,ease of use,1,1,0,0.1538,The warmth is subpar. My feet were freezing after just 30 minutes. I've had much better from competitors.,Not happy with the warmth at all. My feet were freezing after just 30 minutes. Would not recommend.
10,Alpine Pro Ski Boots,ankle support,13,6,1,0.3507,Average ankle support. Could use a bit more rigidity. It's okay for casual use.,Really frustrated with the ankle support. Twisted my ankle because the support is so poor. Customer service wasn't helpful either.
11,ArcticShield Winter Jacket,fit,13,6,0,0.3037,The ArcticShield Winter Jacket exceeded my expectations. The fit is top-notch. Perfect sizing with no break-in period needed.,"The fit failed after just a few uses. Way too tight around the toe box, even after sizing up. Very poor quality."
12,ArcticShield Winter Jacket,durability,11,1,0,0.4526,Wouldn't buy again due to the breathability issues. Feels like wearing plastic bags. Not worth the premium price.,The breathability failed after just a few uses. Feels like wearing plastic bags. Very poor quality.
13,ArcticShield Winter Jacket,warmth,22,1,0,0.6535,"Great warmth! Even in deep powder, my feet stayed warm and dry. Perfect for my summer adventures.",Really frustrated with the warmth. The insulation is laughably thin. Customer service wasn't helpful either.
14,ArcticShield Winter Jacket,weight,24,4,6,0.3702,Great weight! Barely notice the weight. Perfect for my summer adventures.,The weight failed after just a few uses. Feels like carrying bricks. Very poor quality.
15,ArcticShield Winter Jacket,price,36,14,0,0.2933,The ArcticShield Winter Jacket has serious issues with waterproofing. Everything inside was soaked. Save your money.,Really frustrated with the price. There are far better options at half the price. Customer service wasn't helpful either.
16,ArcticShield Winter Jacket,waterproofing,21,6,3,0.3448,"Great warmth! Even in deep powder, my feet stayed warm and dry. Perfect for my summer adventures.",Wouldn't buy again due to the waterproofing issues. Everything inside was soaked. Not worth the premium price.
17,ArcticShield Winter Jacket,breathability,14,3,2,0.3258,Wouldn't buy again due to the breathability issues. Feels like wearing plastic bags. Not worth the premium price.,Really frustrated with the breathability. My feet were soaked in sweat. Customer service wasn't helpful either.
18,ArcticShield Winter Jacket,reliability,0,5,0,-0.6421,,"The fit failed after just a few uses. Way too tight around the toe box, even after sizing up. Very poor quality."
19,FlameKing Camp Stove,fit,3,0,0,0.7045,"After extensive testing, the portability holds up beautifully. Fits easily in any pack. Very satisfied.",
20,FlameKing Camp Stove,durability,28,5,3,0.4723,The durability is exactly what I needed. Still going strong after hundreds of miles. Solid build quality overall.,"The durability is decent but nothing special. Seems durable enough, time will tell. Gets the job done."
21,FlameKing Camp Stove,weight,10,3,1,0.3856,Great portability! Incredibly compact and packable. Perfect for my summer adventures.,The portability failed after just a few uses. Not portable at all despite marketing. Very poor quality.
22,FlameKing Camp Stove,price,24,9,2,0.2378,Five stars for the ease of use! Set up in under a minute. Worth every penny.,The price completely ruined my summer trip. Massively overpriced for what you get. Unacceptable quality.
23,FlameKing Camp Stove,reliability,9,5,0,0.2694,Five stars for the reliability! Completely reliable in all conditions. Worth every penny.,The portability failed after just a few uses. Not portable at all despite marketing. Very poor quality.
24,FlameKing Camp Stove,ease of use,11,3,1,0.3699,Five stars for the ease of use! Set up in under a minute. Worth every penny.,The ease of use completely ruined my summer trip. Took 20 minutes to figure out. Unacceptable quality.
25,FlameKing Camp Stove,capacity,0,2,0,-0.6733,,Really frustrated with the portability. Takes up too much space. Customer service wasn't helpful either.
26,FlameKing Camp Stove,portability,10,5,2,0.1662,The portability is outstanding. Weighs next to nothing. Best purchase I've made this season.,The portability failed after just a few uses. Not portable at all despite marketing. Very poor quality.
27,FlameKing Camp Stove,fuel efficiency,12,4,0,0.4476,Really impressed with the fuel efficiency. One canister lasted the entire trip. Highly recommend for anyone serious about outdoor gear.,Not happy with the fuel efficiency at all. Burns through fuel absurdly fast. Would not recommend.
28,Summit Hiking Backpack,fit,2,0,1,0.3471,Great capacity! Fits everything I need for a 3-day trip. Perfect for my summer adventures.,
29,Summit Hiking Backpack,comfort,19,5,1,0.4409,Absolutely love the comfort on the Summit Hiking Backpack. The cushioning system is phenomenal. Would buy again!,Really frustrated with the comfort. The padding wears out within weeks. Customer service wasn't helpful either.
30,Summit Hiking Backpack,durability,15,5,2,0.3881,Mixed feelings about the durability. Construction quality is average. Could be improved.,Can't say enough good things about the durability. Built like a tank — no signs of wear after a full season. This is premium quality.
31,Summit Hiking Backpack,weight,12,6,1,0.2508,Mixed feelings about the weight. Weight is about average. Could be improved.,The waterproofing is decent but nothing special. Some moisture seepage in heavy rain. Gets the job done.
32,Summit Hiking Backpack,price,20,13,1,0.1903,Five stars for the capacity! More capacity than I expected. Worth every penny.,Not happy with the price at all. Massively overpriced for what you get. Would not recommend.
33,Summit Hiking Backpack,waterproofing,9,5,1,0.2191,Five stars for the waterproofing! Kept everything dry in heavy rain. Worth every penny.,The waterproofing is decent but nothing special. Some moisture seepage in heavy rain. Gets the job done.
34,Summit Hiking Backpack,capacity,13,3,1,0.3619,Average capacity. Capacity is adequate for day trips. It's okay for casual use.,Very disappointed with the capacity. The pockets are impractically small. Expected much better for the price.
35,TrailBlazer Running Shoes,fit,10,6,0,0.2996,"The fit is subpar. Way too tight around the toe box, even after sizing up. I've had much better from competitors.","Terrible fit. Way too tight around the toe box, even after sizing up. This does not live up to the brand's reputation."
36,TrailBlazer Running Shoes,comfort,12,4,0,0.3677,Mixed feelings about the comfort. Takes some getting used to. Could be improved.,Terrible comfort. The padding wears out within weeks. This does not live up to the brand's reputation.
37,TrailBlazer Running Shoes,durability,17,9,2,0.2851,"After extensive testing, the durability holds up beautifully. Built like a tank — no signs of wear after a full season. Very satisfied.",The durability completely ruined my summer trip. Material started peeling almost immediately. Unacceptable quality.
38,TrailBlazer Running Shoes,warmth,4,1,0,0.5262,The breathability is outstanding. No sweat buildup even in summer heat. Best purchase I've made this season.,The TrailBlazer Running Shoes exceeded my expectations. The breathability is top-notch. No sweat buildup even in summer heat.
39,TrailBlazer Running Shoes,price,30,10,1,0.4088,Great price! Premium quality at a fair price. Perfect for my summer adventures.,Can't say enough good things about the price. Worth every dollar. This is premium quality.
40,TrailBlazer Running Shoes,grip,12,6,0,0.3284,The grip is exactly what I needed. Never once slipped on the trails. Solid build quality overall.,The grip completely ruined my summer trip. Lost traction on every downhill. Unacceptable quality.
41,TrailBlazer Running Shoes,waterproofing,0,2,0,-0.3412,,Can't say enough good things about the grip. The grip on varied terrain is incredible. This is premium quality.
42,TrailBlazer Running Shoes,breathability,14,5,0,0.301,The breathability is exactly what I needed. The ventilation is top-notch. Solid build quality overall.,The breathability failed after just a few uses. Zero breathability. Very poor quality.
43,TrailBlazer Running Shoes,reliability,0,4,0,-0.7375,,The breathability failed after just a few uses. Zero breathability. Very poor quality.
44,VerticalEdge Climbing Harness,fit,12,1,0,0.6818,"The fit is a major letdown. Way too tight around the toe box, even after sizing up. Considering returning it.","Not happy with the fit at all. Way too tight around the toe box, even after sizing up. Would not recommend."
45,VerticalEdge Climbing Harness,comfort,12,4,0,0.4436,Can't say enough good things about the fit. True to size and very comfortable. This is premium quality.,Terrible comfort. The padding wears out within weeks. This does not live up to the brand's reputation.
46,VerticalEdge Climbing Harness,durability,13,8,1,0.3036,Absolutely love the durability on the VerticalEdge Climbing Harness. Built like a tank — no signs of wear after a full season. Would buy again!,Terrible comfort. The padding wears out within weeks. This does not live up to the brand's reputation.
47,VerticalEdge Climbing Harness,weight,8,8,3,0.0947,The weight is outstanding. Surprisingly lightweight for the features. Best purchase I've made this season.,Really frustrated with the weight. The weight is a dealbreaker for long treks. Customer service wasn't helpful either.
48,VerticalEdge Climbing Harness,price,13,12,1,0.1608,The price is subpar. Massively overpriced for what you get. I've had much better from competitors.,Very disappointed with the price. Not worth the premium markup. Expected much better for the price.
49,VerticalEdge Climbing Harness,safety,10,2,1,0.4441,Really impressed with the safety. The safety features give total confidence. Highly recommend for anyone serious about outdoor gear.,Not happy with the safety at all. Doesn't inspire confidence at all. Would not recommend.
50,VerticalEdge Climbing Harness,reliability,0,4,0,-0.6924,,The comfort failed after just a few uses. Extremely uncomfortable pressure points. Very poor quality.
